Item,Price,Link
XIAO RP2040 Module,$11.18,https://www.aliexpress.us/item/3256806765635713.html?spm=a2g0o.cart.0.0.69c738dac1Op7K&mp=1&pdp_npi=6%40dis%21USD%21USD+15.97%21USD+10.68%21%21USD+10.68%21%21%21%40210328c017814823509257272eae14%2112000049363356786%21ct%21US%217790230700%21%211%210%21&_gl=1*zqz8a5*_gcl_au*MjM1NzgzNTAuMTc4MTIxNzIzNQ..*_ga*MzE4ODg0OTYzMDA0MTgzLjE3ODEyMTcyMzI1Mjg.*_ga_VED1YSGNC7*czE3ODE0ODIzMzgkbzQkZzEkdDE3ODE0ODIzODUkajEzJGwwJGgw&gatewayAdapt=glo2usa
1X15Pin (10PCS) Male Header Pins,$2.18,https://www.aliexpress.us/item/3256805730789728.html?spm=a2g0o.cart.0.0.69c738dac1Op7K&mp=1&pdp_npi=6%40dis%21USD%21USD+2.18%21USD+1.68%21%21USD+1.68%21%21%21%40210328c017814823509257272eae14%2112000034840648421%21ct%21US%217790230700%21%211%210%21&_gl=1*zqz8a5*_gcl_au*MjM1NzgzNTAuMTc4MTIxNzIzNQ..*_ga*MzE4ODg0OTYzMDA0MTgzLjE3ODEyMTcyMzI1Mjg.*_ga_VED1YSGNC7*czE3ODE0ODIzMzgkbzQkZzEkdDE3ODE0ODIzODUkajEzJGwwJGgw&gatewayAdapt=glo2usa
OLED display module white,$2.20,https://www.aliexpress.us/item/3256808453793642.html?spm=a2g0o.cart.0.0.69c738dac1Op7K&mp=1&pdp_npi=6%40dis%21USD%21USD+2.20%21USD+0.99%21%21USD+0.99%21%21%21%40210328c017814823509257272eae14%2112000046056142551%21ct%21US%217790230700%21%211%210%21&_gl=1*12a9hyl*_gcl_au*MjM1NzgzNTAuMTc4MTIxNzIzNQ..*_ga*MzE4ODg0OTYzMDA0MTgzLjE3ODEyMTcyMzI1Mjg.*_ga_VED1YSGNC7*czE3ODE0ODIzMzgkbzQkZzEkdDE3ODE0ODIzODMkajE1JGwwJGgw&gatewayAdapt=glo2usa
Outemu Switches Mechanical Keyboard,$2.39,https://www.aliexpress.us/item/3256804099108371.html?spm=a2g0o.cart.0.0.69c738dac1Op7K&mp=1&pdp_npi=6%40dis%21USD%21USD+2.39%21USD+0.99%21%21USD+0.99%21%21%21%40210328c017814823509257272eae14%2112000028628937408%21ct%21US%217790230700%21%211%210%21&_gl=1*uj9uuy*_gcl_au*MjM1NzgzNTAuMTc4MTIxNzIzNQ..*_ga*MzE4ODg0OTYzMDA0MTgzLjE3ODEyMTcyMzI1Mjg.*_ga_VED1YSGNC7*czE3ODE0ODIzMzgkbzQkZzEkdDE3ODE0ODIzNzkkajE5JGwwJGgw&gatewayAdapt=glo2usa
Electric Soldering Iron Kit Set,$11.28,https://www.aliexpress.us/item/3256802914298493.html?spm=a2g0o.cart.0.0.69c738dac1Op7K&mp=1&pdp_npi=6%40dis%21USD%21USD+16.90%21USD+0.99%21%21USD+0.99%21%21%21%40210328c017814823509257272eae14%2112000024311549956%21ct%21US%217790230700%21%211%210%21&_gl=1*1mygoku*_gcl_au*MjM1NzgzNTAuMTc4MTIxNzIzNQ..*_ga*MzE4ODg0OTYzMDA0MTgzLjE3ODEyMTcyMzI1Mjg.*_ga_VED1YSGNC7*czE3ODE0ODIzMzgkbzQkZzEkdDE3ODE0ODIzNTMkajQ1JGwwJGgw&gatewayAdapt=glo2usa
M3 Screw Assortment Kit,$7.16,https://www.aliexpress.us/item/3256807365950412.html?spm=a2g0o.cart.0.0.69c738dac1Op7K&mp=1&pdp_npi=6%40dis%21USD%21USD+7.16%21USD+0.99%21%21USD+0.99%21%21%21%40210328c017814823509257272eae14%2112000041263443539%21ct%21US%217790230700%21%211%210%21&_gl=1*1mygoku*_gcl_au*MjM1NzgzNTAuMTc4MTIxNzIzNQ..*_ga*MzE4ODg0OTYzMDA0MTgzLjE3ODEyMTcyMzI1Mjg.*_ga_VED1YSGNC7*czE3ODE0ODIzMzgkbzQkZzEkdDE3ODE0ODIzNTMkajQ1JGwwJGgw&gatewayAdapt=glo2usa
DSA Black Keycaps,$4.72,https://www.aliexpress.us/item/3256808457115497.html?spm=a2g0o.cart.0.0.69c738dac1Op7K&mp=1&pdp_npi=6%40dis%21USD%21USD+4.72%21USD+0.99%21%21USD+0.99%21%21%21%40210328c017814823509257272eae14%2112000046072492967%21ct%21US%217790230700%21%211%210%21&_gl=1*1mygoku*_gcl_au*MjM1NzgzNTAuMTc4MTIxNzIzNQ..*_ga*MzE4ODg0OTYzMDA0MTgzLjE3ODEyMTcyMzI1Mjg.*_ga_VED1YSGNC7*czE3ODE0ODIzMzgkbzQkZzEkdDE3ODE0ODIzNTMkajQ1JGwwJGgw&gatewayAdapt=glo2usa
